team,conf,division,qb_name,qb_value,off_value,def_value,hc_name,coaching_value,oc_name,dc_name,scheme_value,your_edge,needs_review,notes,age,exp
Jacksonville Jaguars,AFC,South,Trevor Lawrence,3.5,0.5,0.0,,0.0,,,0.0,0.0,N,"BTJ/Thomas Jr; D lost Lloyd, +Orhorhoro. Wk1 (beat CLE 34-10): Lawrence 3.0→3.5 (best game of his career: 150.6 rating, 93.4 QBR, 18/23 4TD/0INT); Off 0.0→0.5; Def 0.0→0.5 (NFL #1 run D 2025, stuffed Judkins). Wk2 (L 13-20 at DEN): Off HELD 0.5 (2nd-half lag, but graded vs a good DEN D — opponent-based); Def 0.5->0.0 (-0.5): faded in the 2nd half. QB held 3.5",27,5
Tennessee Titans,AFC,South,Cam Ward,-1.0,-0.9,-1.0,,0.0,,,0.0,0.0,N,"Wk1 (L 10-23 to NYJ) — big recalibration, had them wrong preseason. Cam Ward (2nd yr, 2025 #1 pick) 0.0->-1.0: 19/32 140yd, 3 sacks, missed open throws, R-shoulder injury Q1 (played thru); Off -0.5->-1.0: OL whipped, 195 total yds, no TD til Q4; Def 0.0->-1.0: no impact vs a bottom-tier offense (Saleh HC debut). +Wan'Dale/Ridley; LB Cedric Gray concussion. Wk2 (L 20-24 vs PHI, 157F heat): 'won the tape, lost the game' — led 20-17 late (Marcus Harris INT) before Hurts' last-second TD. Cam Ward efficient (70.8 PFF, 13/20 183, 0 TO), Jeffery Simmons dominant (83.4/6 prs); moved the ball, out-gained PHI in 2H. Off -1.0->-0.9 (+0.1, very slight): more competent than Wk1. QB/Def held",24,1
Denver Broncos,AFC,West,Bo Nix,0.0,0.5,1.5,,0.0,,,0.0,0.0,N,"QB 0.0 (ascending Nix, Payton system); Off 0.5 (+Waddle, Sutton, top-5 OL); D elite Surtain/Bonitto/Zach Allen/Hufanga; EDGE Jonathon Cooper on Commissioner's Exempt List thins the rush. Wk1 (L 10-31 at KC): Def 1.7->1.2 — run all over (Ken Walker career high); Bo Nix awful. Wk2 (W 20-13 vs JAX): Def 1.2->1.5 (+0.3, back toward preseason) — looked good, held JAX to 13 & shut down their 2nd half; Bo Nix unimpressive (held 0.0); Off 0.5 held",27,2
Kansas City Chiefs,AFC,West,Patrick Mahomes,4.5,0.5,-0.5,,0.0,,,0.0,0.0,N,"D +Sneed/Elam. Wk1 (beat DEN 31-10): Mahomes 3.5->4.0 — clean return from torn ACL/LCL. Wk2 (W 33-30 vs IND): Mahomes 4.0->4.5 — looks great (32/47 382 3TD 0INT, 78.6 QBR), full restore; Off 0.0->0.5 — Kelce playing well + Ken Walker looking great. Def -0.5 held",31,9
Las Vegas Raiders,AFC,West,Kirk Cousins,-1.5,-0.5,-0.7,,0.0,,,0.0,0.0,N,"C Linderbaum add. D Crosby +Paye/Q.Walker/Dean. Wk1 (beat MIA 27-13, never trailed): Off -1.0->-0.5 — Jeanty carried it (102 rush + 2 rec TD); Cousins mixed (3 TD/2 INT). Wk2 (W 26-14 at LAC): Cousins -2.5->-1.5 (+1.0) — played well in a road win; Def -1.0->-0.7 (+0.3) — solid, held LAC to 14. Off held -0.5 (Jeanty)",38,14
Los Angeles Chargers,AFC,West,Justin Herbert,1.5,-0.5,-1.0,,0.0,,,0.0,0.0,N,"McConkey +Njoku; C Tyler Biadasz out for season (knee/IR); D Mack +Tomlinson. Wk1 (L 14-26 vs ARI, home upset ~9pt fav): Herbert 4.0->3.0 (poor); Off 0.3->0.0 (OL horrible); Def 0.5 held. Wk2 (L 14-26 vs LV): serious rethink (not overreact) — Herbert 3.0->1.5: awful 2nd straight game, no way higher than 1.5 right now; Off 0.0->-0.5: offense looked horrible (largely play-calling); Def 0.5->-1.0 (-1.5): rolled on D 2 weeks straight vs two below-avg teams (ARI, LV) on the weakest schedule — may be a slight overreaction but warranted",28,6
Dallas Cowboys,NFC,East,Dak Prescott,2.0,1.0,-1.0,,0.0,,,0.0,0.0,N,"CeeDee Lamb + George Pickens (elite WR duo) +MVS; Off 0.5->1.0 (elite WR duo), tempered by All-Pro LG Tyler Smith IR (torn thumb, ~4-6 wks); Def 0.0->-0.5: lost Parsons (to GB). Wk1 (L 20-28 at NYG, SNF): Def -0.5->-1.0 — shredded by Jaxson Dart (28/3TD) + lost S Malik Hooker (forearm)/LB Overshown (hamstring). Wk2 (W 37-20 vs WSH): Dak 1.5->2.0 (+0.5) — 26/31 279 4TD 0INT (89.8 QBR), sharp; Off/Def held",33,10
New York Giants,NFC,East,Jameis Winston,-4.0,0.0,0.5,,0.0,,,0.0,0.0,N,"Nabers +aging WRs (OBJ/Mooney/JuJu); D +Edmunds/Burns. Wk1 (beat DAL 28-20, SNF): Dart Pro-Bowl-caliber (23/29 230 3TD); Off -0.5->0.0; Def 0.5. Wk2 (L 6-28 at LAR): QB Jaxson Dart (-0.5) OUT — severe left knee on opening drive, extended absence / potentially SEASON-ENDING; ACTIVE starter now Jameis Winston, whose personal grade is dropped -3.0->-4.0 (looked horrible: 11/27 111 0TD 1INT, 17.2 QBR). RESTORE Dart if/when he returns. Rest of NYG (Off 0.0/Def 0.5) held",23,1
Philadelphia Eagles,NFC,East,Jalen Hurts,2.0,0.2,0.5,,0.0,,,0.0,0.0,N,"Off 0.0->0.5: lost A.J. Brown but still a solid group — Saquon Barkley (elite RB) + DeVonta Smith + Goedert + good OL; D +Greenard/Epenesa, lost edges (Graham/Ojulari/Phillips). Wk1 held 3.0 (beat WSH 24-22, narrow): Hurts efficient (3 TD) but sacked 3x; G Landon Dickerson IR (knee). Wk2 (W 24-20 at TEN, 157F heat): unimpressive but found a way — Hurts game-winning 3-yd TD to Cooper w/ 0:09 left; Hurts 80.2 PFF (2 TD/2 INT), DeVonta Smith 93.2 carried. Off 0.5->0.2 (-0.3): TE Dallas Goedert (knee, out a few weeks) — 2nd-best receiving option gone. QB/Def held. WATCH: Saquon Barkley stinger (opening play, returned, precautionary MRI)",28,6
Washington Commanders,NFC,East,Marcus Mariota,-3.0,-1.0,-1.5,,0.0,,,0.0,0.0,N,"McLaurin +White; −1.0 O: Laremy Tunsil IR (torn triceps). D +Chaisson/Omenihu/Oweh. Wk1 (L 22-24 at PHI). Wk2 (L 20-37 at DAL): QB Jayden Daniels (+2.0) OUT — dislocated left (non-throwing) elbow, ruled out Wk3, projected multiple games (poss IR); ACTIVE starter now Marcus Mariota -3.0; RESTORE Daniels when healthy. Def -1.0->-1.5: awful, and it looked bad even with Daniels in the lineup. Off held -1.0",26,2
Chicago Bears,NFC,North,Case Keenum,-4.5,1.0,-0.8,,0.0,,,0.0,0.0,N,"Lost DJ Moore (to BUF); Odunze/Burden; OL +Wills/Bradbury. Wk1 (beat CAR 59-37): Off 0.0->1.0 — 552 yds/291 rush, Caleb surgical (21/29 269 2TD +65 rush/2TD); tempered by CAR's historically bad D. Def -0.5->-1.0 — gave up 37/361. Wk2 (L 3-9 at MIN): QB Caleb Williams (+3.0) OUT — right hamstring Q4, week-to-week, ruled out Wk3; ACTIVE starter now vet Case Keenum -4.5 (Bagent, the usual QB2, is in concussion protocol); RESTORE Caleb when healthy. Off HELD 1.0 (the 3-pt dud was finishing + 2 TOs + Caleb's injury, not talent — hung 59 Wk1; box had CHI ~17 expected). Def -1.0->-0.8 (+0.2): held MIN to 9 & forced 2 TOs (both Ds played well), tho WEATHER was a major factor suppressing both offenses + MIN was Wentz-limited and also stalled",25,2
Detroit Lions,NFC,North,Jared Goff,2.0,1.0,-1.5,,0.0,,,0.0,0.0,N,"Gibbs/St.Brown/Williams elite +Pacheco(IR); D Hutchinson, lost Reader/Anzalone; Def 0.0->-1.0: BOTH All-Pro safeties out 4+ games (Branch ruptured Achilles/PUP; Kerby Joseph knee, may be season/IR) — Hutchinson keeps it off the floor. Def -1.0→-1.5 (Wk2): downgrade is about the players ON THE FIELD, NOT the absent safeties (already priced at -1.0). The current unit has PROVEN to be one of the worst Ds in the NFL as a whole — 2nd straight 30+ allowed (30 NO, 41 BUF), coverage carved up (Campbell 28.8, D.White 30.8, Maddox 27.4). Has good DL pieces (Walker, Hutchinson) but the group has not shown it can be anything but bottom-tier",32,10
Green Bay Packers,NFC,North,Jordan Love,1.0,0.5,-0.5,,0.0,,,0.0,0.0,N,"Jacobs (won exempt-list appeal, plays Wk1; conduct case pending); lost Doubs/Wicks; D +Hargrave/Franklin, lost Gary; +Parsons but on PUP/torn ACL, out first ~4 games (upside ~Wk5)",28,6
Minnesota Vikings,NFC,North,Kyler Murray,-0.5,1.0,0.7,,0.0,,,0.0,0.0,N,"Jefferson/Addison +Jennings; D lost Greenard/Allen/Hargrave. Kyler Murray (signed after ARI released him Mar '26) restored to QB1 -0.5: concussed Q1 Wk1 vs GB, cleared protocol, RETURNS to start Wk3 vs TB. Wentz ably filled in (started Wk2, 9-3 win vs CHI, 58.9 game-manager) — now QB2; McCarthy (ankle, multi-week; trade chatter) QB3. Off HELD 1.0 (stalled to 9, Jefferson quiet — a Wentz/grind game; Murray back Wk3). Def 0.5->0.7 (+0.2): takeaway-driven 9-3 win (2 TOs forced, Van Ginkel 5 prs, Dallas Turner sack; D played well), tempered bc WEATHER was a major factor suppressing both O's + CHI moved the ball (297 yds/17 1D) and left points on the field. QB slight upgrade next wk: Murray (-0.5) back over Wentz fill-in (-1.0) — already priced",29,7
Atlanta Falcons,NFC,South,Michael Penix Jr.,-2.0,1.0,-1.0,,0.0,,,0.0,0.0,N,"QB: Michael Penix Jr. (franchise starter) QB1 -2.0 — RETURNS Wk3 vs GB (TNF), his 2026 debut off a torn ACL. Missed Wk1-2; Tua (oblique, doubtful) QB2 -2.5; fill-in Cooper Rush now QB3 (downgraded -3.5->-4.5 Wk2: awful — 34-3 loss w/ pick-6 vs a CAR D that had allowed 59 the week before), rookie UDFA Jack Strand QB4. Penix -2.0 held: now 2.5 better than Rush (-4.5), clears the >1.5 gap. Off HELD 1.0 (Wk2's 3 pts was the Rush QB collapse, not the weapons — London 83.4/Bijan fine — and Penix is back). Bijan/London +B.Robinson; Def 0.0->-0.5 (edge gutted thru Wk8: Jalon Walker season ACL/IR + Pearce 8-game susp; aging Ebukam/Ojulari)-> -1.0 Wk2: CB1 A.J. Terrell (the secondary's anchor) to IR (concussion+groin); Ebukam hamstring out. 0.5 for now, WATCHING",26,3
Carolina Panthers,NFC,South,Bryce Young,1.0,-0.6,-0.2,,0.0,,,0.0,0.0,N,"McMillan +Dillon; D +Jaelan Phillips/Devin Lloyd. Wk1 (L 37-59 to CHI, record-high pts allowed): QB Young 0.5->1.0 — 361 yds/3 TD +rush TD, competed in a shootout behind an OL missing BOTH starting OTs (Ekwonu+Moton); Off -1.0->-0.8 — produced 37 despite the tackle losses (rises more as OTs return); Def 0.0->-0.5 — humiliated, franchise-record pts allowed; DT Bobby Brown back injury. Wk2 (W 34-3 at ATL): Off -0.8->-0.6 (+0.2) & Def -0.5->-0.2 (+0.3), both held LOW for QoC — ATL was down to 3rd-string Cooper Rush (Penix ACL/Tua oblique out; Rush pick-6). D proved it can dominate a bad QB + mostly shut down ATL's top weapons (near-shutout, ~4-5 TOs forced; Devin Lloyd 92.3, Horn locked his side). Young unchanged (clean 287/3TD/0INT); Nick Scott S ribs (out Q1, depth); front feasted",25,3
New Orleans Saints,NFC,South,Tyler Shough,0.0,0.3,-0.3,,0.0,,,0.0,0.0,N,"Olave/Kamara +Etienne; rookie 1st-rd WR Jordyn Tyson out ~2mo; Def 0.0->-0.3: IR pileup (DT Bresee, LB Ford season, CB Long) on an already-thin unit (lost Davis); Chase Young/Cam Jordan edge the bright spot. Wk1 (L 30-31 OT at DET): QB -1.0->-0.5 — 2nd-yr Shough led a 21-0 comeback to force OT; more than replacement-level. Wk2 (W 24-17 at BAL, ~8.5-pt road DOG — big upset): Shough -0.5->0.0 (+0.5) — LEADS THE NFL in passing yards; 27/34 252 1TD 0INT, 76.8 QBR. Off 0.0->0.3 (+0.3): impressive road win over a top team. Def held -0.3",27,1
Tampa Bay Buccaneers,NFC,South,Baker Mayfield,1.5,1.0,-1.0,,0.0,,,0.0,0.0,N,"Godwin/Egbuka, lost Mike Evans (to SF); D lost Reddick/David. Wk2 (L 19-23 vs CLE; weird game — 2+hr rain delay before the final 2 min killed TB's momentum): Baker 2.0->1.5 — looked bad (21/34 182 1TD 1INT, 53.1 QBR). Def -0.5->-1.0 (-0.5): got toasted by the Browns (allowed 23 to a bottom-tier CLE offense). Off held 1.0",31,8
Arizona Cardinals,NFC,West,Jacoby Brissett,-1.5,-0.5,-0.5,,0.0,,,0.0,0.0,N,"Harrison Jr +Allgeier/Bourne; D +Billings/Lopez. Wk1 (beat LAC 26-14 on road as ~9pt dog — had them underrated): Off -1.0->-0.5 — Brissett efficient (27/37 277 0INT 103.1), McBride + Mike LaFleur scheme moved it; Def -1.0->-0.5 — held Herbert to 14, 3 sacks + a takeaway (some ST help: blocked punt). QB Brissett held -1.5",34,10
Los Angeles Rams,NFC,West,Matthew Stafford,5.5,1.4,0.5,,0.0,,,0.0,0.0,N,"Nacua/Kyren (Off +1.5 fully healthy — keep in mind); D +McDuffie/Watson +Aaron Donald (back, rusty). Wk1 (L 7-27 at SF): Def 1.2→0.2 (poor showing + lost Myles Garrett knee/IR ~Wk6). Wk2 (W 28-6 vs NYG): looked great WITHOUT Puka Nacua — Off 0.9->1.4 (+0.5); Def 0.2->0.5 — upgraded but tempered (impressive but vs NYG's backup Winston after Dart's Q1 injury, don't overreact); Stafford held 5.5. WATCH: if Puka plays next wk, another +0.5 Off",38,17
San Francisco 49ers,NFC,West,Brock Purdy,3.2,1.0,1.2,,0.0,,,0.0,0.0,N,"+Evans/Kirk; D +Odighizuwa/Greenlaw. Wk1 (beat LAR 27-7 in Melbourne): Off 0.2→1.0 (Kittle healthy, dominated); QB 2.5→3.0; Def 0.5→1.0 (held LAR to 7). Wk2 (W 35-13 vs MIA): Purdy 3.0->3.2 (+0.2 slight) — surgical (20/22 287 2TD, 99.7 PFF); Def 1.0->1.2 (+0.2 slight); Off held 1.0",27,4
Seattle Seahawks,NFC,West,Drew Lock,0.0,1.5,3.0,,0.0,,,0.0,0.0,N,"Darnold (glute, week-to-week) hurt Wk1, Drew Lock is the active QB1; JSN+Kupp+Shaheed elite WRs; Off 1.5 (RB room thin). Wk2 (W 31-7 at ARI): got this way wrong — Lock -1.0->0.0 (+1.0): one of the best backups in the NFL, played great; Def 2.0->3.0 (+1.0): elite — has allowed just 17 pts across 2 games (hate going this high but warranted). Off held 1.5",29,8
